stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,20.4,20130103,01KG0329,20130103
01BD0545,WEWESSA ESTATE,27.9,20130103,01BD0545,20130103
01RT196A,KALAWANA MINI HYDRO,22.6,20130103,01RT196A,20130103
01PU313A,MARAWILA,25.1,20130103,01PU313A,20130103
01KG175A,IBBAGAMUWA,25.7,20130103,01KG175A,20130103
01KG0326,MEDIYAWA TANK,19.9,20130103,01KG0326,20130103
01PL0340,MINNERIYA TANK,21.7,20130103,01PL0340,20130103
01PL224A,KAUDULLA WEWA,23.5,20130103,01PL224A,20130103
01MU357A,MUTU IYANKADDU,26.9,20130103,01MU357A,20130103
01AM0459,SAGAMAM TANK,21.2,20130103,01AM0459,20130103
01JF0425,POINT PEDRO,23.6,20130103,01JF0425,20130103
01KE0544,WEWELTALAWA ESTATE,28.5,20130103,01KE0544,20130103
01CB0268,LABUGAMA TANK,21.0,20130103,01CB0268,20130103
01PL538C,WELIKANDA SINGHAPURA,29.6,20130103,01PL538C,20130103
01AN104A,EHETUGASWEWA,22.5,20130103,01AN104A,20130103
01KT0200,KALUTARA-P.W.D.,25.7,20130103,01KT0200,20130103
01AM0012,AMPARAI TANK,21.8,20130103,01AM0012,20130103
01KG0532,WARIYAPOLA EXPTL.STATION,24.8,20130103,01KG0532,20130103
01MG540A,WELLAWAYA,24.5,20130103,01MG540A,20130103
01GL0030,BADDEGAMA ESTATE,27.7,20130103,01GL0030,20130103
01KG407A,PANNALA VIRIDIYAWA EST,20.8,20130103,01KG407A,20130103
01MU0216,KANNUKKENI TANK,21.7,20130103,01MU0216,20130103
01KG469A,SIYAMBALANGAMUWA,20.4,20130103,01KG469A,20130103
01KI0183,IRANAMADU TANK,25.7,20130103,01KI0183,20130103
01AM001E,ADDALACHENAI,30.0,20130103,01AM001E,20130103
01GM0011,AMBEPUSSA GOVT FARM,26.5,20130103,01GM0011,20130103
01GL0267,LABUDUWA,22.7,20130103,01GL0267,20130103
01RT042C,BELIHULOYA,19.9,20130103,01RT042C,20130103
01AN193A,KAHATAGASDIGILIYA  W/S,25.6,20130103,01AN193A,20130103
01CB0025,AVISSAWELLA ESTATE,29.5,20130103,01CB0025,20130103
01CB0150,HANWELLA GROUP,21.3,20130103,01CB0150,20130103
01GM0373,NEGOMBO,22.1,20130103,01GM0373,20130103
01RT0435,PUSSELLA S.P.,23.0,20130103,01RT0435,20130103
01BT197B,KALKUDAH,28.7,20130103,01BT197B,20130103
01NE506B,UDARADELLA,20.8,20130103,01NE506B,20130103
01AM368B,NAVATKIRI ARU TANK,20.3,20130103,01AM368B,20130103
01RT0032,BALANGODA POST OFFICE,28.2,20130103,01RT0032,20130103
01AM493B,THIRUKKOVIL,23.0,20130103,01AM493B,20130103
01BT0357,MYLAMBAVELLY ESTATE,23.9,20130103,01BT0357,20130103
01KE009B,AMBANPITIYA ESTATE,24.2,20130103,01KE009B,20130103
01HT481A,SURIYAWEWA,28.4,20130103,01HT481A,20130103
01MT0232,KEKENADURA (MATARA),25.6,20130103,01MT0232,20130103
01KT400C,PALLEGODA ESTATE,19.3,20130103,01KT400C,20130103
01KG014A,ANDIGAMA FARM,28.0,20130103,01KG014A,20130103
01CB166A,HOMAGAMA,26.6,20130103,01CB166A,20130103
01GM487B,THAMMITA,29.8,20130103,01GM487B,20130103
01NE0236,KENILWORTH (STRATHELLIE),23.4,20130103,01NE0236,20130103
01KG258D,KULIYAPITIYA,20.6,20130103,01KG258D,20130103
01CB469B,COLOMBO PORT,25.0,20130103,01CB469B,20130103
01KG404A,PANDUWASNUWARA,22.1,20130103,01KG404A,20130103
01CB0080,DEHIWALA ZOO,28.8,20130103,01CB0080,20130103
01KY0418,PERADENIYA BOT.GARDENS,23.7,20130103,01KY0418,20130103
01KG0452,RIDIBENDI ELA,20.8,20130103,01KG0452,20130103
01CB0026,AVISSAWELLA HOSPITAL,24.9,20130103,01CB0026,20130103
01GM0528,WALPITA,25.3,20130103,01GM0528,20130103
01CB0016,ANGODA MENTAL HOSPITAL,25.0,20130103,01CB0016,20130103
01JF062A,CHAVAKACHCHERI,20.5,20130103,01JF062A,20130103
01KT0035,BANDARAGAMA,24.3,20130103,01KT0035,20130103
01KG0256,KOULWEWA,20.3,20130103,01KG0256,20130103
01PL020A,ARALAGANWILA,28.4,20130103,01PL020A,20130103
01KT513A,USK VALLEY S.P.,20.1,20130103,01KT513A,20130103
01MG141B,HANDAPANGALA,25.1,20130103,01MG141B,20130103
01KG0253,HAKWATUNA-OYA,29.2,20130103,01KG0253,20130103
01HT0292,MAHA LEWAYA (HAMBANTOTA),25.9,20130103,01HT0292,20130103
43PPP,POLONNARUWA,22.0,20130103,43PPP,20130103
01PU0013,ANAMADUWA DISPENSARY,29.7,20130103,01PU0013,20130103
01VA414A,PAVATKULAM,27.1,20130103,01VA414A,20130103
01KE0021,ARANAYAKE GOVT. HOSPITAL,26.6,20130103,01KE0021,20130103
01ML324A,MEDAPIHILLA,21.8,20130103,01ML324A,20130103
01NE0153,HATTON KOTAGALA ROSITA,20.5,20130103,01NE0153,20130103
01KG092B,DODANGASLANDA,29.8,20130103,01KG092B,20130103
01VA0518,VAVUNIYA P.W.D.,20.8,20130103,01VA0518,20130103
01PL0427,POLONNARUWA AGRI.STATION,20.1,20130103,01PL0427,20130103
01AM459A,SAMANTHURAI,29.7,20130103,01AM459A,20130103
01RT539B,WELLANDURA TEA FACTORY,19.9,20130103,01RT539B,20130103
01KT021A,ARAMANAGOLLA,19.5,20130103,01KT021A,20130103
01AM257A,KUDASIGIRIYA,24.9,20130103,01AM257A,20130103
43418,TRINCOMALEE,23.7,20130103,43418,20130103
43421,ANURADHAPURA,19.9,20130103,43421,20130103
43413,MANNAR,25.8,20130103,43413,20130103
43467,RATMALANA,28.0,20130103,43467,20130103
43424,PUTTALAM,20.9,20130103,43424,20130103
43999,POTTUVIL,20.0,20130103,43999,20130103
43404,JAFFNA,29.6,20130103,43404,20130103
43441,KURUNEGALA,29.1,20130103,43441,20130103
43436,BATTICALOA,29.1,20130103,43436,20130103
43444,KATUGASTOTA,23.5,20130103,43444,20130103
143476,BANDARAWELA,19.1,20130103,143476,20130103
