mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
0,KIRAN,20130128,4,2,KIRAN,20130128
1,ADDACHCHENAI,20130128,4,10,ADDACHCHENAI,20130128
2,AGALAWATTA,20130128,4,2,AGALAWATTA,20130128
3,AKKARAIPATTU,20130128,4,3,AKKARAIPATTU,20130128
4,AKMEEMANA,20130128,4,8,AKMEEMANA,20130128
5,AKURANA,20130128,4,1,AKURANA,20130128
6,AKURESSA,20130128,4,4,AKURESSA,20130128
7,ALAWWA,20130128,4,7,ALAWWA,20130128
8,ALAYADIVEMBU,20130128,4,4,ALAYADIVEMBU,20130128
9,AMBAGAMUWA,20130128,4,1,AMBAGAMUWA,20130128
10,AMBALANGODA,20130128,4,4,AMBALANGODA,20130128
11,AMBALANTOTA,20130128,4,9,AMBALANTOTA,20130128
12,AMBANGANGA KORALE,20130128,4,2,AMBANGANGA KORALE,20130128
13,Ambanpola,20130128,4,3,Ambanpola,20130128
14,AMPARA,20130128,4,7,AMPARA,20130128
15,Anamaduwa,20130128,4,9,Anamaduwa,20130128
16,ANGUNUKOLAPELES,20130128,4,3,ANGUNUKOLAPELES,20130128
17,Arachchikattuwa,20130128,4,7,Arachchikattuwa,20130128
18,ARANAYAKA,20130128,4,8,ARANAYAKA,20130128
19,ARAYAMPATHY,20130128,4,2,ARAYAMPATHY,20130128
20,ATHURALIYA,20130128,4,9,ATHURALIYA,20130128
21,ATTANAGALLA,20130128,4,8,ATTANAGALLA,20130128
22,AYAGAMA,20130128,4,3,AYAGAMA,20130128
23,Badalkumbura,20130128,4,1,Badalkumbura,20130128
24,BADDEGAMA,20130128,4,2,BADDEGAMA,20130128
25,Badulla,20130128,4,7,Badulla,20130128
26,BALANGODA,20130128,4,4,BALANGODA,20130128
27,BALAPITIYA,20130128,4,8,BALAPITIYA,20130128
28,BAMBARADENIYA,20130128,4,3,BAMBARADENIYA,20130128
29,Bamunukotuwa,20130128,4,7,Bamunukotuwa,20130128
30,BANDARAGAMA,20130128,4,9,BANDARAGAMA,20130128
31,Bandarawela,20130128,4,1,Bandarawela,20130128
32,BATTARAMULLA,20130128,4,3,BATTARAMULLA,20130128
33,BATTICALOA,20130128,4,3,BATTICALOA,20130128
34,BELIATTA,20130128,4,0,BELIATTA,20130128
35,BENTOTA,20130128,4,2,BENTOTA,20130128
36,BERUWALA,20130128,4,6,BERUWALA,20130128
37,Bibila,20130128,4,6,Bibila,20130128
38,Bingiriya,20130128,4,8,Bingiriya,20130128
39,BIYAGAMA,20130128,4,7,BIYAGAMA,20130128
40,BOGAWANTHALAWA,20130128,4,9,BOGAWANTHALAWA,20130128
41,BOPE-PODDALA,20130128,4,6,BOPE-PODDALA,20130128
42,BORALESGAMUWA,20130128,4,3,BORALESGAMUWA,20130128
43,BULATHKOHUPITIYA,20130128,4,2,BULATHKOHUPITIYA,20130128
44,BULATHSINHALA,20130128,4,9,BULATHSINHALA,20130128
45,Buttala,20130128,4,0,Buttala,20130128
46,CHANKANAI,20130128,4,1,CHANKANAI,20130128
47,CHAVAKACHCHERI,20130128,4,5,CHAVAKACHCHERI,20130128
48,CHEDDIKULAM,20130128,4,8,CHEDDIKULAM,20130128
49,CHENKALADY,20130128,4,4,CHENKALADY,20130128
50,Chilaw,20130128,4,4,Chilaw,20130128
51,CMC,20130128,4,8,CMC,20130128
52,DAMANA,20130128,4,5,DAMANA,20130128
53,DAMBULLA,20130128,4,3,DAMBULLA,20130128
54,Dankotuwa,20130128,4,9,Dankotuwa,20130128
55,DEHIOVITA,20130128,4,2,DEHIOVITA,20130128
56,DEHIWALA,20130128,4,6,DEHIWALA,20130128
57,DEHIYATHAKANDIYA,20130128,4,6,DEHIYATHAKANDIYA,20130128
58,DELTHOTA,20130128,4,7,DELTHOTA,20130128
59,DERANIYAGALA,20130128,4,5,DERANIYAGALA,20130128
60,DEVINUWARA,20130128,4,1,DEVINUWARA,20130128
61,DICKWELLA,20130128,4,7,DICKWELLA,20130128
62,DIMBULAGALA,20130128,4,1,DIMBULAGALA,20130128
63,DIVULAPITIYA,20130128,4,1,DIVULAPITIYA,20130128
64,DOLUWA,20130128,4,5,DOLUWA,20130128
65,DOMPE,20130128,4,6,DOMPE,20130128
66,EACHCHILAMPATRU,20130128,4,6,EACHCHILAMPATRU,20130128
67,EHELIYAGODA,20130128,4,0,EHELIYAGODA,20130128
68,ELAHERA,20130128,4,5,ELAHERA,20130128
69,ELAPATHA,20130128,4,10,ELAPATHA,20130128
70,Ella,20130128,4,8,Ella,20130128
71,ELPITIYA,20130128,4,4,ELPITIYA,20130128
72,EMBILIPITIYA,20130128,4,8,EMBILIPITIYA,20130128
73,ERAVUR,20130128,4,7,ERAVUR,20130128
74,GALENBIDUNUWAWE,20130128,4,8,GALENBIDUNUWAWE,20130128
75,GALEWELA,20130128,4,3,GALEWELA,20130128
76,Galgamuwa,20130128,4,8,Galgamuwa,20130128
77,GALIGAMUWA,20130128,4,6,GALIGAMUWA,20130128
78,GALLE FOUR GRAVETS,20130128,4,4,GALLE FOUR GRAVETS,20130128
79,GALNEWA,20130128,4,9,GALNEWA,20130128
80,GAMPAHA,20130128,4,7,GAMPAHA,20130128
81,Ganewatta,20130128,4,0,Ganewatta,20130128
82,GANGA IHALA KORALE,20130128,4,1,GANGA IHALA KORALE,20130128
83,Girandurukotte,20130128,4,7,Girandurukotte,20130128
84,Giribawa,20130128,4,3,Giribawa,20130128
85,GODAKAWELA,20130128,4,1,GODAKAWELA,20130128
86,GONAPINUWALA,20130128,4,3,GONAPINUWALA,20130128
87,GORAMANKADAWELA,20130128,4,9,GORAMANKADAWELA,20130128
88,HABARADUWA,20130128,4,3,HABARADUWA,20130128
89,HAKMANA,20130128,4,10,HAKMANA,20130128
90,Haldummulla,20130128,4,9,Haldummulla,20130128
91,Haliela,20130128,4,9,Haliela,20130128
92,HAMBANTOTA,20130128,4,4,HAMBANTOTA,20130128
93,HANGURANKETHA,20130128,4,9,HANGURANKETHA,20130128
94,HANWELLA,20130128,4,5,HANWELLA,20130128
95,Haputhale,20130128,4,4,Haputhale,20130128
96,HARISPATTUWA,20130128,4,6,HARISPATTUWA,20130128
97,HATHARALIYADDA,20130128,4,2,HATHARALIYADDA,20130128
98,HIKKADUWA,20130128,4,9,HIKKADUWA,20130128
99,HINGURAKGODA,20130128,4,2,HINGURAKGODA,20130128
100,HOMAGAMA,20130128,4,8,HOMAGAMA,20130128
101,HORANA,20130128,4,0,HORANA,20130128
102,HOROWPOTHANA,20130128,4,9,HOROWPOTHANA,20130128
103,Ibbagamuwa,20130128,4,5,Ibbagamuwa,20130128
104,IMADUWA,20130128,4,3,IMADUWA,20130128
105,IMBULPE,20130128,4,7,IMBULPE,20130128
106,INGIRIYA,20130128,4,5,INGIRIYA,20130128
107,IPALOGAMA,20130128,4,3,IPALOGAMA,20130128
108,IRAKKAMAM,20130128,4,4,IRAKKAMAM,20130128
109,JA-ELA,20130128,4,6,JA-ELA,20130128
110,JAFFNA,20130128,4,3,JAFFNA,20130128
111,KADUWELA,20130128,4,6,KADUWELA,20130128
112,KAHATAGASDIGILIYA,20130128,4,4,KAHATAGASDIGILIYA,20130128
113,KAHATHUDUWA,20130128,4,3,KAHATHUDUWA,20130128
114,KAHAWATHTHA,20130128,4,2,KAHAWATHTHA,20130128
115,KALAWANA,20130128,4,10,KALAWANA,20130128
116,KALMUNAI SOUTH ( MUSLIM DIV ),20130128,4,1,KALMUNAI SOUTH ( MUSLIM DIV ),20130128
117,KALNUMAI NORTH ( TAMIL DIV ),20130128,4,9,KALNUMAI NORTH ( TAMIL DIV ),20130128
118,Kalpitiya,20130128,4,7,Kalpitiya,20130128
119,KALUTARA,20130128,4,9,KALUTARA,20130128
120,KALUWANCHIKUDY,20130128,4,0,KALUWANCHIKUDY,20130128
121,KAMBURUPITIYA,20130128,4,2,KAMBURUPITIYA,20130128
122,Kandaketiya,20130128,4,0,Kandaketiya,20130128
123,KANDAWALAI,20130128,4,1,KANDAWALAI,20130128
124,KANDY FOUR GRAVETS & GANGAWATA KORALE,20130128,4,5,KANDY FOUR GRAVETS & GANGAWATA KORALE,20130128
125,KANTHALE,20130128,4,9,KANTHALE,20130128
126,KARAITHIVU,20130128,4,1,KARAITHIVU,20130128
127,KARANDENIYA,20130128,4,9,KARANDENIYA,20130128
128,KARAVEDDY,20130128,4,7,KARAVEDDY,20130128
129,Karuwalagaswewa,20130128,4,8,Karuwalagaswewa,20130128
130,KATANA,20130128,4,7,KATANA,20130128
