cell,mobility,dtg
1610,2.2,201301050800
1846,2.43,201301050800
1851,1.07,201301050800
1853,2.3,201301050800
1856,0.78,201301050800
1857,0.59,201301050800
2103,1.64,201301050800
2105,2.51,201301050800
2106,1.29,201301050800
2107,0.96,201301050800
2114,0.9,201301050800
2342,1.94,201301050800
2347,2.05,201301050800
2351,0.89,201301050800
2354,2.08,201301050800
2357,2.2,201301050800
2372,1.84,201301050800
2374,2.66,201301050800
2591,0.65,201301050800
2595,1.25,201301050800
2605,1.73,201301050800
2611,1.22,201301050800
2615,2.81,201301050800
2620,2.18,201301050800
2627,0.86,201301050800
2839,1.16,201301050800
2847,1.33,201301050800
3086,0.87,201301050800
3094,1.3,201301050800
3100,0.9,201301050800
3124,1.29,201301050800
3128,2.62,201301050800
3334,0.8,201301050800
3337,1.16,201301050800
3375,2.78,201301050800
3614,2.89,201301050800
3619,2.54,201301050800
3632,2.77,201301050800
3635,2.71,201301050800
3830,1.09,201301050800
3831,2.01,201301050800
3833,2.04,201301050800
3837,0.64,201301050800
3845,0.51,201301050800
3856,2.7,201301050800
3860,1.74,201301050800
3865,1.43,201301050800
4078,1.89,201301050800
4081,1.59,201301050800
4137,1.28,201301050800
4141,2.19,201301050800
4142,2.81,201301050800
4328,1.82,201301050800
4329,1.87,201301050800
4341,1.93,201301050800
4345,2.63,201301050800
4348,2.71,201301050800
4354,2.57,201301050800
4372,0.87,201301050800
4577,2.35,201301050800
4578,1.75,201301050800
4580,0.63,201301050800
4582,1.13,201301050800
4605,1.06,201301050800
4608,2.7,201301050800
4631,1.07,201301050800
4636,0.58,201301050800
4637,1.81,201301050800
4829,2.06,201301050800
4830,1.8,201301050800
4831,2.27,201301050800
4834,1.57,201301050800
4837,0.9,201301050800
4852,1.59,201301050800
4863,2.28,201301050800
4868,0.55,201301050800
4890,2.39,201301050800
4891,2.96,201301050800
5078,1.24,201301050800
5081,1.51,201301050800
5084,1.06,201301050800
5127,1.96,201301050800
5153,0.51,201301050800
5327,1.34,201301050800
5329,2.32,201301050800
