cell,mobility,dtg
1610,2.62,201301070000
1846,1.59,201301070000
1851,1.15,201301070000
1853,1.19,201301070000
1856,2.17,201301070000
1857,2.28,201301070000
2103,2.41,201301070000
2105,3.0,201301070000
2106,0.9,201301070000
2107,0.67,201301070000
2114,2.17,201301070000
2342,2.88,201301070000
2347,1.35,201301070000
2351,2.3,201301070000
2354,2.65,201301070000
2357,1.91,201301070000
2372,2.56,201301070000
2374,0.63,201301070000
2591,2.79,201301070000
2595,1.26,201301070000
2605,0.83,201301070000
2611,2.17,201301070000
2615,2.31,201301070000
2620,2.36,201301070000
2627,2.67,201301070000
2839,0.65,201301070000
2847,0.55,201301070000
3086,1.63,201301070000
3094,1.27,201301070000
3100,0.85,201301070000
3124,1.31,201301070000
3128,2.23,201301070000
3334,2.16,201301070000
3337,0.72,201301070000
3375,1.66,201301070000
3614,0.69,201301070000
3619,2.13,201301070000
3632,0.69,201301070000
3635,2.66,201301070000
3830,2.75,201301070000
3831,0.83,201301070000
3833,2.27,201301070000
3837,0.55,201301070000
3845,2.42,201301070000
3856,2.33,201301070000
3860,1.61,201301070000
3865,1.25,201301070000
4078,1.85,201301070000
4081,2.82,201301070000
4137,0.95,201301070000
4141,1.9,201301070000
4142,2.01,201301070000
4328,2.48,201301070000
4329,2.7,201301070000
4341,2.17,201301070000
4345,2.42,201301070000
4348,2.52,201301070000
4354,2.89,201301070000
4372,2.15,201301070000
4577,1.3,201301070000
4578,2.81,201301070000
4580,1.0,201301070000
4582,0.89,201301070000
4605,0.63,201301070000
4608,1.22,201301070000
4631,1.08,201301070000
4636,2.91,201301070000
4637,0.87,201301070000
4829,2.89,201301070000
4830,0.58,201301070000
4831,2.49,201301070000
4834,2.73,201301070000
4837,1.22,201301070000
4852,0.8,201301070000
4863,2.64,201301070000
4868,1.75,201301070000
4890,1.99,201301070000
4891,2.87,201301070000
5078,1.73,201301070000
5081,1.66,201301070000
5084,2.06,201301070000
5127,2.41,201301070000
5153,1.33,201301070000
5327,1.07,201301070000
5329,2.91,201301070000
5333,1.72,201301070000
5334,1.57,201301070000
5339,1.88,201301070000
5369,0.56,201301070000
5402,2.67,201301070000
5410,1.94,201301070000
5577,0.89,201301070000
5581,2.64,201301070000
5592,1.21,201301070000
5612,1.15,201301070000
5623,1.99,201301070000
5876,0.9,201301070000
5893,2.02,201301070000
5898,0.5,201301070000
6078,2.79,201301070000
6118,0.75,201301070000
6136,1.77,201301070000
6158,1.05,201301070000
6159,1.65,201301070000
6333,0.74,201301070000
6353,2.78,201301070000
6365,2.3,201301070000
6366,0.59,201301070000
6414,1.72,201301070000
6588,1.97,201301070000
6609,2.0,201301070000
6635,2.61,201301070000
6668,1.96,201301070000
6841,2.42,201301070000
6849,2.03,201301070000
6896,1.64,201301070000
6924,1.64,201301070000
6928,2.58,201301070000
6935,1.95,201301070000
6939,1.7,201301070000
7077,2.09,201301070000
7078,1.93,201301070000
7085,1.38,201301070000
7088,1.16,201301070000
7113,2.06,201301070000
7114,0.59,201301070000
7129,0.75,201301070000
7133,2.38,201301070000
7165,2.27,201301070000
7192,1.64,201301070000
7354,1.18,201301070000
7375,2.43,201301070000
7379,1.9,201301070000
7401,0.8,201301070000
7410,1.1,201301070000
