cell,mobility,dtg
1610,1.35,201301040000
1846,1.82,201301040000
1851,1.46,201301040000
1853,2.67,201301040000
1856,0.61,201301040000
1857,2.37,201301040000
2103,2.88,201301040000
2105,2.03,201301040000
2106,2.49,201301040000
2107,0.63,201301040000
2114,2.29,201301040000
2342,0.91,201301040000
2347,2.15,201301040000
2351,1.22,201301040000
2354,1.64,201301040000
2357,1.17,201301040000
2372,2.82,201301040000
2374,1.47,201301040000
2591,2.52,201301040000
2595,1.08,201301040000
2605,2.25,201301040000
2611,1.82,201301040000
2615,1.81,201301040000
2620,1.48,201301040000
2627,1.67,201301040000
2839,2.89,201301040000
2847,2.5,201301040000
3086,1.83,201301040000
3094,2.11,201301040000
3100,2.45,201301040000
3124,1.0,201301040000
3128,1.87,201301040000
3334,0.71,201301040000
3337,1.7,201301040000
3375,1.12,201301040000
3614,0.87,201301040000
3619,2.11,201301040000
3632,1.87,201301040000
3635,1.36,201301040000
3830,0.9,201301040000
3831,1.53,201301040000
3833,1.05,201301040000
3837,2.42,201301040000
3845,2.74,201301040000
3856,0.76,201301040000
3860,0.79,201301040000
3865,1.7,201301040000
4078,0.82,201301040000
4081,1.03,201301040000
4137,2.21,201301040000
4141,1.17,201301040000
4142,1.16,201301040000
4328,1.25,201301040000
4329,1.94,201301040000
4341,0.68,201301040000
4345,2.78,201301040000
4348,0.68,201301040000
4354,2.88,201301040000
4372,1.72,201301040000
4577,1.47,201301040000
4578,2.06,201301040000
4580,1.36,201301040000
4582,1.73,201301040000
4605,2.9,201301040000
4608,2.65,201301040000
4631,2.71,201301040000
4636,1.77,201301040000
4637,2.31,201301040000
4829,1.58,201301040000
4830,2.11,201301040000
4831,2.79,201301040000
4834,1.95,201301040000
4837,2.86,201301040000
4852,1.95,201301040000
4863,1.68,201301040000
4868,0.84,201301040000
4890,2.84,201301040000
4891,1.78,201301040000
5078,1.41,201301040000
5081,1.43,201301040000
5084,2.58,201301040000
5127,0.64,201301040000
5153,0.68,201301040000
5327,2.67,201301040000
5329,0.9,201301040000
5333,1.69,201301040000
5334,2.14,201301040000
5339,1.82,201301040000
5369,1.08,201301040000
5402,0.92,201301040000
5410,2.94,201301040000
5577,1.3,201301040000
5581,1.86,201301040000
5592,1.01,201301040000
5612,1.56,201301040000
5623,0.83,201301040000
5876,1.76,201301040000
5893,0.83,201301040000
5898,1.83,201301040000
6078,1.23,201301040000
6118,2.54,201301040000
6136,0.71,201301040000
6158,2.38,201301040000
6159,1.17,201301040000
6333,2.7,201301040000
6353,1.59,201301040000
6365,2.03,201301040000
6366,1.38,201301040000
6414,2.43,201301040000
6588,1.17,201301040000
6609,2.52,201301040000
6635,0.69,201301040000
6668,0.97,201301040000
6841,0.83,201301040000
6849,0.52,201301040000
6896,2.31,201301040000
6924,3.0,201301040000
6928,0.69,201301040000
6935,1.75,201301040000
6939,1.95,201301040000
7077,0.59,201301040000
7078,2.09,201301040000
7085,2.82,201301040000
7088,1.95,201301040000
7113,2.14,201301040000
7114,1.24,201301040000
7129,2.52,201301040000
7133,1.17,201301040000
7165,1.18,201301040000
7192,2.32,201301040000
7354,2.79,201301040000
7375,0.88,201301040000
7379,1.32,201301040000
7401,2.55,201301040000
7410,1.52,201301040000
7436,1.46,201301040000
7584,1.44,201301040000
7646,2.48,201301040000
7849,1.28,201301040000
7871,2.94,201301040000
7927,2.96,201301040000
7948,0.67,201301040000
8080,0.84,201301040000
8170,2.82,201301040000
8182,2.16,201301040000
8195,0.52,201301040000
8342,2.14,201301040000
8582,2.9,201301040000
8602,2.8,201301040000
8609,2.07,201301040000
8638,0.84,201301040000
8656,2.31,201301040000
8830,1.97,201301040000
8839,0.59,201301040000
8876,1.84,201301040000
8897,2.42,201301040000
8912,2.77,201301040000
8918,1.94,201301040000
8929,1.77,201301040000
8940,2.44,201301040000
8954,1.9,201301040000
9140,1.55,201301040000
9333,2.36,201301040000
9468,1.56,201301040000
9473,0.92,201301040000
9589,2.81,201301040000
9601,0.66,201301040000
9607,2.32,201301040000
9658,0.56,201301040000
9724,2.33,201301040000
9833,1.69,201301040000
10084,1.14,201301040000
10089,2.6,201301040000
10096,0.89,201301040000
10144,1.04,201301040000
10170,1.36,201301040000
10181,1.49,201301040000
10189,1.95,201301040000
10201,2.91,201301040000
10334,2.3,201301040000
10335,1.42,201301040000
10383,1.8,201301040000
10414,2.81,201301040000
10444,2.99,201301040000
10458,1.55,201301040000
10477,1.55,201301040000
10586,1.34,201301040000
10601,1.83,201301040000
10609,0.76,201301040000
10616,1.86,201301040000
10633,2.27,201301040000
10655,1.53,201301040000
10665,2.26,201301040000
10681,0.96,201301040000
10717,2.29,201301040000
10835,1.46,201301040000
10837,1.28,201301040000
10847,2.07,201301040000
10903,1.74,201301040000
10911,2.58,201301040000
10918,1.73,201301040000
10973,2.18,201301040000
11087,1.92,201301040000
11092,2.38,201301040000
11128,0.85,201301040000
11222,0.85,201301040000
11223,2.83,201301040000
11225,1.37,201301040000
11238,0.89,201301040000
11361,2.52,201301040000
11393,2.85,201301040000
11424,2.83,201301040000
11601,1.86,201301040000
11682,1.62,201301040000
11704,2.04,201301040000
11858,2.38,201301040000
11884,2.82,201301040000
11901,1.99,201301040000
11946,1.85,201301040000
11960,0.63,201301040000
11972,0.58,201301040000
12089,2.13,201301040000
12090,2.59,201301040000
12096,2.02,201301040000
12120,0.59,201301040000
12157,2.21,201301040000
12230,2.03,201301040000
12383,2.74,201301040000
