Station_ID,Station_Name,Element_Code,Element_Name,yy,mm,dd,obs_val
01NE506B,UDARADELLA,5,PRECIP,2013,1,1,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,2,0.9
01NE506B,UDARADELLA,5,PRECIP,2013,1,3,23.4
01NE506B,UDARADELLA,5,PRECIP,2013,1,4,5.7
01NE506B,UDARADELLA,5,PRECIP,2013,1,5,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,6,6.8
01NE506B,UDARADELLA,5,PRECIP,2013,1,7,68
01NE506B,UDARADELLA,5,PRECIP,2013,1,8,5.7
01NE506B,UDARADELLA,5,PRECIP,2013,1,9,27.1
01NE506B,UDARADELLA,5,PRECIP,2013,1,10,69
01NE506B,UDARADELLA,5,PRECIP,2013,1,11,0.8
01NE506B,UDARADELLA,5,PRECIP,2013,1,12,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,13,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,14,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,15,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,16,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,17,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,18,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,19,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,20,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,21,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,22,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,23,6.9
01NE506B,UDARADELLA,5,PRECIP,2013,1,24,8
01NE506B,UDARADELLA,5,PRECIP,2013,1,25,11
01NE506B,UDARADELLA,5,PRECIP,2013,1,26,14
01NE506B,UDARADELLA,5,PRECIP,2013,1,27,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,28,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,29,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,30,0
01NE506B,UDARADELLA,5,PRECIP,2013,1,31,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,1,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,2,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,3,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,4,34.5
01NE506B,UDARADELLA,5,PRECIP,2013,2,5,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,6,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,7,5.8
01NE506B,UDARADELLA,5,PRECIP,2013,2,8,24.3
01NE506B,UDARADELLA,5,PRECIP,2013,2,9,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,10,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,11,10.9
01NE506B,UDARADELLA,5,PRECIP,2013,2,12,20.6
01NE506B,UDARADELLA,5,PRECIP,2013,2,13,51.9
01NE506B,UDARADELLA,5,PRECIP,2013,2,14,6.5
01NE506B,UDARADELLA,5,PRECIP,2013,2,15,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,16,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,17,14.2
01NE506B,UDARADELLA,5,PRECIP,2013,2,18,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,19,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,20,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,21,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,22,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,23,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,24,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,25,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,26,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,27,0
01NE506B,UDARADELLA,5,PRECIP,2013,2,28,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,1,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,2,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,3,4.5
01NE506B,UDARADELLA,5,PRECIP,2013,3,4,3.7
01NE506B,UDARADELLA,5,PRECIP,2013,3,5,1.9
01NE506B,UDARADELLA,5,PRECIP,2013,3,6,0.6
01NE506B,UDARADELLA,5,PRECIP,2013,3,7,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,8,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,9,25
01NE506B,UDARADELLA,5,PRECIP,2013,3,10,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,11,2.2
01NE506B,UDARADELLA,5,PRECIP,2013,3,12,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,13,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,14,6.2
01NE506B,UDARADELLA,5,PRECIP,2013,3,15,8.1
01NE506B,UDARADELLA,5,PRECIP,2013,3,16,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,17,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,18,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,19,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,20,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,21,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,22,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,23,2.9
01NE506B,UDARADELLA,5,PRECIP,2013,3,24,2.1
01NE506B,UDARADELLA,5,PRECIP,2013,3,25,11
01NE506B,UDARADELLA,5,PRECIP,2013,3,26,12.2
01NE506B,UDARADELLA,5,PRECIP,2013,3,27,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,28,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,29,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,30,0
01NE506B,UDARADELLA,5,PRECIP,2013,3,31,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,1,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,2,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,3,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,4,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,5,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,6,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,7,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,8,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,9,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,10,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,11,10.3
01NE506B,UDARADELLA,5,PRECIP,2013,4,12,20
01NE506B,UDARADELLA,5,PRECIP,2013,4,13,15
01NE506B,UDARADELLA,5,PRECIP,2013,4,14,25
01NE506B,UDARADELLA,5,PRECIP,2013,4,15,62
01NE506B,UDARADELLA,5,PRECIP,2013,4,16,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,17,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,18,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,19,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,20,1.5
01NE506B,UDARADELLA,5,PRECIP,2013,4,21,2.9
01NE506B,UDARADELLA,5,PRECIP,2013,4,22,29.5
01NE506B,UDARADELLA,5,PRECIP,2013,4,23,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,24,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,25,1.3
01NE506B,UDARADELLA,5,PRECIP,2013,4,26,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,27,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,28,12.2
01NE506B,UDARADELLA,5,PRECIP,2013,4,29,0
01NE506B,UDARADELLA,5,PRECIP,2013,4,30,0
01NE506B,UDARADELLA,5,PRECIP,2013,5,1,1.3
